set,item
activities,ACT_AGRI_FOOD
activities,ACT_EXTRACTIVE
activities,ACT_BASIC_METALS
activities,ACT_METAL_COMPONENTS
activities,ACT_NEW_ELMA
activities,ACT_NEW_OFMA
activities,ACT_NEW_RATV
activities,ACT_REP_ELMA
activities,ACT_REP_OFMA
activities,ACT_REP_RATV
activities,ACT_REF_ELMA
activities,ACT_REF_OFMA
activities,ACT_REF_RATV
activities,ACT_REU_ELMA
activities,ACT_REU_OFMA
activities,ACT_REU_RATV
activities,ACT_REC_EE
activities,ACT_INC_EE
activities,ACT_CONSTRUCTION
activities,ACT_UTIL_WASTE
activities,ACT_TRADE
activities,ACT_TRANSPORT
activities,ACT_OTHER_MANUFACTURING
activities,ACT_OTHER_SERVICES
activities,ACT_PUBLIC_SOCIAL
commodities,COM_AGRI_FOOD
commodities,COM_EXTRACTIVE
commodities,COM_BASIC_METALS
commodities,COM_METAL_COMPONENTS
commodities,COM_NEW_ELMA
commodities,COM_NEW_OFMA
commodities,COM_NEW_RATV
commodities,COM_REP_ELMA
commodities,COM_REP_OFMA
commodities,COM_REP_RATV
commodities,COM_REF_ELMA
commodities,COM_REF_OFMA
commodities,COM_REF_RATV
commodities,COM_REU_ELMA
commodities,COM_REU_OFMA
commodities,COM_REU_RATV
commodities,COM_REC_EE
commodities,COM_INC_EE
commodities,COM_CONSTRUCTION
commodities,COM_UTIL_WASTE
commodities,COM_TRADE
commodities,COM_TRANSPORT
commodities,COM_OTHER_MANUFACTURING
commodities,COM_OTHER_SERVICES
commodities,COM_PUBLIC_SOCIAL
factors,CAP
factors,LAB
institutions,HH
institutions,GOV
institutions,INV
externals,EXT
families,ELMA
families,OFMA
families,RATV
routes,NEW
routes,REF
routes,REP
routes,REU
routes,REC
routes,INC
service_targets,TST_ELMA
service_targets,TST_OFMA
service_targets,TST_RATV
eol_targets,EOL_ELMA
eol_targets,EOL_OFMA
eol_targets,EOL_RATV
material_targets,VMTL_EE
material_targets,RMTL_EE
